ENGINESIZE,CYLINDERS,FUELCONSUMPTION_COMB,CO2EMISSIONS
6.7,9,99.55,380
4,9,39.36,520
2.6,14,98.69,186
4.1,2,98.89,430
3,15,1.47,259
1.7,1,28.65,758
3.8,3,1.23,486
5.5,12,60.46,441
4.5,10,42.4,383
4.3,8,22.77,743
1.7,13,60.18,390
4.9,10,50.14,800
3.2,13,27.03,344
1.3,11,14.63,570
2,15,38.76,941
5.1,14,65.21,694
3.9,1,14.34,850
2,2,66.59,347
6.1,1,91.71,563
5,3,2.32,996
0.9,13,24.88,913
0.7,3,49.14,594
6.2,5,5.65,594
6.1,7,10.43,906
3.1,15,75.06,993
5.4,13,19.28,489
5.8,12,93.95,290
6.7,4,84.75,189
5.2,15,70,660
1.6,3,66.42,531
3.9,9,56.47,319
0.6,11,15.39,131
4.4,5,43.71,841
3.2,4,2.11,650
5.8,5,77.41,224
0.9,2,38.71,364
4.2,13,57,659
2.7,1,82.34,269
1,9,45.25,255
3.9,15,47.76,979
5.7,4,77.13,536
1.4,15,30.24,930
2,1,89.89,468
2,11,16.76,254
3.8,6,28.1,217
5,1,5.26,467
6.3,11,3.17,987
1.2,9,88.26,774
2.2,4,93.71,840
6.4,1,68.7,434
1.3,4,14.97,563
1.1,6,39.8,371
2.4,3,97.96,871
6.6,12,7.19,688
1.6,3,36.8,588
4.9,13,92.12,315
3.9,10,22.85,543
2.9,10,19.79,434
6.9,11,41.44,743
1.5,13,94.76,836
6.6,2,73.42,875
4,14,22.63,105
1.3,5,9.79,369
1,10,29.95,736
1.3,9,57.82,843
1.2,12,31.14,763
6.7,4,65.79,283
3.2,2,79.56,629
6.9,12,39.96,347
5.1,6,11.71,383
6.8,8,85.28,881
3,2,92.02,720
6.6,8,68.88,981
2,4,48.16,567
4.7,15,42.15,961
1.9,15,3.53,907
3.1,10,15.71,828
3.5,15,8.22,259
3.8,15,62.71,409
5.3,10,90.44,555
6.4,3,94.17,703
4.3,2,90.69,166
2.7,5,68.62,901
3.1,5,71.63,463
4.2,4,87.39,283
1.7,7,8.75,157
1.1,7,50.64,712
4.8,3,60.13,234
5.5,14,60.12,791
1.8,3,43.27,208
6.1,8,53.76,869
3.5,11,67.3,341
4,5,56.16,279
1.4,5,14.23,224
1.2,1,44.8,903
1.1,13,16.71,900
5.5,10,39.06,562
1.4,10,31.2,886
2.8,6,38.97,630
0.6,8,33.78,619
6.3,1,82.56,890
5.9,1,5.11,973
1.2,8,44.56,205
4.9,9,87.52,805
5.6,5,74.52,797
2.9,6,1.5,200
5,2,77.85,526
4.8,8,56,257
1.3,12,98.82,657
0.6,10,26.58,619
1.6,8,74.81,177
1.1,13,86.52,762
4.3,14,98.68,134
3.5,4,99.44,649
6.9,12,44.27,677
1.3,4,94.4,878
5.5,14,7.07,332
1.2,12,7.45,113
3.7,6,8.16,873
5.6,12,55.36,229
1.4,10,26.67,302
5.4,5,76.16,287
2.1,5,41.14,340
2.3,12,42.2,660
2.9,10,28.35,887
1,12,85.5,825
4,6,98.54,851
6.8,7,45.6,836
1.9,1,85.22,295
5.5,9,23.69,399
3.4,10,37.05,362
3.5,4,19.3,653
5,1,71.43,846
2.4,13,56.32,725
2.1,12,14.6,961
1.9,8,84.64,207
3.8,13,32.69,394
6,11,57.83,528
3.8,2,62.43,911
4.1,14,46.95,706
5.2,14,99.91,604
5,1,29.09,162
3.9,10,16.03,973
3.9,5,82.75,880
5.2,8,19.1,336
6.5,4,51.72,420
2.1,7,60.17,915
1.9,11,64.5,743
1.3,13,52.53,446
3.7,5,82.34,733
5.4,15,65.73,734
5.2,2,78.69,889
3.1,5,91.87,646
6,15,49.6,260
3.1,7,89.71,901
5.2,11,81.79,286
0.6,5,86.71,501
0.8,2,14.4,451
6.3,6,46.78,530
3.9,6,43.93,516
3.1,2,18.85,811
5.1,4,35.34,832
1.1,11,68.89,441
4.6,6,92.96,564
2.9,11,35.88,692
4.1,9,85.8,583
4.5,6,82.53,232
1.3,11,6.6,974
1.4,10,27.66,801
6.3,2,99.9,693
6,12,51.97,799
2.7,11,48.65,264
3.7,4,72.71,821
5.5,13,32.3,369
1.5,5,33.27,540
3.8,4,2.96,639
0.9,4,11.66,117
4.5,9,41.09,986
6.5,8,94.15,549
2.4,2,13.51,572
1.7,13,9.56,321
1.3,3,55.19,620
4.6,15,46.02,605
2.2,1,99.27,610
0.8,10,86.06,715
2.7,15,50.59,476
2.5,9,91.61,724
2.2,4,18.3,152
4.9,3,38.31,403
4.2,1,66.67,633
0.8,11,79.72,653
1.6,9,69.71,879
4,11,67.63,440
4.4,12,57.44,511
3.7,15,50.2,318
5.9,7,33.36,475
2,13,6.05,946
0.8,9,15.48,540
5.6,13,49.05,117
0.9,8,96.31,649
6.1,7,63.55,675
3,15,80.96,995
5,8,75.64,488
0.8,15,18.68,139
3.3,8,84.54,709
5.8,12,63.43,430
6.2,9,79.16,652
1.4,9,22.17,202
4.7,6,53.23,214
3.8,10,64.79,436
3.7,1,60.27,500
1.8,3,33.53,999
4.8,10,48.06,503
3.2,9,52.06,357
3.4,8,17.95,399
0.5,3,71.58,708
4.2,15,55.06,523
4.2,7,57.11,994
1.5,1,81,512
6.3,8,26.96,675
6.4,9,81.77,961
1.6,9,35.5,245
2,6,57.78,767
4.3,10,64.63,160
1.8,7,14.7,505
2.8,2,94.55,356
3.1,2,54.15,280
2,6,42.94,219
2.6,1,6.31,995
5.4,3,33.81,609
2,7,57.36,268
2.8,14,86.36,953
5.3,11,99.72,582
3,14,85.33,976
3.9,12,98.34,543
5.9,4,99.44,138
1.3,10,84.31,463
5.1,1,41.86,661
0.9,3,2.56,473
5.3,15,75.73,849
3.5,2,4.2,302
4.4,2,77.27,742
1,1,74.03,584
5.9,7,21.48,187
5.2,3,71.49,308
5.4,13,96.52,214
6.6,1,41.46,156
2.1,7,23.55,921
5.7,13,26.39,263
5.4,8,98.81,765
1.2,4,34.93,204
0.7,13,43.19,837
6.6,8,37.03,835
1.7,2,33.84,878
2.3,10,49.6,127
3.5,6,99.32,348
1.1,3,69.34,507
2.4,15,96.96,292
4,1,58.32,565
6.4,3,56.65,365
4.4,3,62.01,327
4.8,10,99.85,626
4.3,3,53.14,101
4.7,9,6.47,484
2.4,12,81.47,839
4.6,3,31.24,280
1.2,5,84.89,547
2,10,29.87,636
1.9,5,79.46,814
5.4,3,85.75,346
6.2,15,33.92,100
5.5,14,56.08,566
5.9,13,41.58,121
5.2,11,2.53,605
6.3,2,31.18,138
6.2,8,24.98,958
6.7,15,57.81,673
6.5,11,7.5,850
0.8,12,92.46,962
0.8,7,71.01,948
2.3,5,73.71,214
6.8,5,50.1,785
1.5,1,95.53,842
0.5,2,17.06,216
1,9,71.32,190
5.2,10,33.69,575
3.9,3,94.1,672
2.1,4,24.76,673
5.5,4,85.77,902
4,2,19.87,931
4.7,2,45.99,114
1.1,5,17.26,210
3.8,13,36.88,859
3.7,14,62.48,981
5.7,10,8.93,542
1.4,9,86.58,502
5.8,1,54.68,239
0.8,4,19.52,281
2.3,13,11.68,693
3.1,10,36.47,255
3.9,4,13.24,492
6.8,12,71.9,343
6.3,5,61.53,903
6,11,50.93,707
4.5,10,93.39,700
5.6,9,19.37,669
2.3,14,51.96,657
6,4,10.79,178
2.9,13,98.1,400
3.9,9,30.7,559
1.9,4,74.01,750
6.5,11,89.77,821
3.3,1,9.65,128
1.3,11,51.46,272
1.3,4,32.38,155
3.6,3,92.94,379
5.9,12,84.9,849
4,13,90.02,907
2,9,14.11,791
2.7,7,10.31,408
1,12,34.68,785
2.4,1,93.17,975
1.1,9,52.61,755
0.9,14,21.86,555
3.2,5,32.67,490
4.3,14,25.92,645
4.6,15,4.63,351
2.4,3,1.08,198
3.6,1,72.3,442
6.6,9,53.98,189
5.5,1,6.41,244
6.7,15,67.43,482
6.5,15,54.2,752
3.3,5,48.82,491
5.2,2,10.21,630
1,2,81.29,298
1.8,7,74.74,408
4.7,8,43.03,164
4.7,7,6.1,155
6.7,9,74.92,349
3.8,13,87.31,685
3,15,51.73,430
5.9,7,6.57,729
5,3,5.57,562
3.3,7,60.19,226
0.6,1,28.75,863
4.6,8,36.92,762
4.4,13,92.65,371
6.8,9,67.99,366
4.8,3,26.27,541
5.9,11,23.02,515
2,11,32.07,112
1.1,12,98.99,544
5.1,5,58.9,552
5.4,13,69.62,210
2.7,2,79.92,107
2.3,9,60.26,551
2.8,15,33.16,364
1.7,5,65.27,578
3.8,1,17.81,301
5.8,3,73.63,841
1.9,15,51.21,856
5.6,4,53.08,260
3.2,12,48.15,319
4.9,7,31.36,135
4.7,5,8.16,867
2.9,1,33.48,203
5,7,13.82,697
4.2,6,99.63,196
5.5,5,82.07,552
3.2,1,92.85,219
6.8,4,41.96,849
1.4,5,48.83,894
3.8,13,55.42,674
1.7,10,11.68,807
2.7,6,31.37,384
6.5,1,34.95,300
5.9,11,8.3,456
1.5,14,88.56,153
2.2,10,97.44,607
2,9,70.77,508
1.1,12,48.22,587
6.2,6,98.7,723
6.5,10,59.41,191
2.2,8,39.97,754
5.5,14,89.11,293
5.7,14,19.85,696
1.7,4,66.88,423
1.5,4,14.72,674
6.4,3,32.79,476
2.9,7,72.38,763
6.9,8,20.61,680
2.2,11,60.62,272
1,1,1.38,616
4,12,55.78,386
4.9,7,25.49,225
5.7,10,69.25,447
1.1,3,21.08,582
2,4,5.77,583
2.5,9,31.22,353
6.4,11,30.65,846
5.4,1,63.14,320
1,15,77.15,559
3.5,5,34.16,790
3,3,7.73,263
4.2,6,91.32,831
1.4,8,38.5,241
1.1,10,84.4,462
6.2,3,83.15,933
5.1,10,79.65,255
2.8,1,19.51,799
1.1,8,92.91,151
4.3,3,7.15,345
4.2,10,33.99,990
5.3,3,79.43,737
5.6,2,62.07,748
4.3,5,39.24,668
2.8,12,39.27,160
2.4,10,34.36,814
4.7,2,38.85,944
1.7,2,18.59,790
6.3,6,56,707
1.2,5,70.96,311
1,9,33.94,888
5.8,4,36.7,507
1.5,6,68.21,506
0.6,10,15.11,634
5.1,8,97.87,560
6.1,1,42.42,514
5.8,15,37.26,727
1.8,7,3.22,883
1.2,7,75.97,289
2.7,1,7.27,576
4.3,14,39.59,660
1.7,7,19.85,550
6.7,4,3.66,413
1.3,5,70.6,102
0.9,1,79.58,384
6.4,15,72.48,559
5.8,14,58.97,450
3,7,85.81,351
2,12,52.38,339
2.6,4,61.98,228
2.9,3,43.18,727
1.7,13,31.67,623
3.8,2,29.85,237
5.4,2,76.59,536
6,14,82.2,804
5.6,12,62.85,270
1.5,13,5.21,960
6.5,4,46.66,845
5.6,6,93.95,145
1.9,1,23.1,619
2.5,13,83.05,889
6.4,6,48.21,405
5.1,4,4.9,962
4.9,15,39.46,778
3.6,2,60.87,430
5.8,13,35.2,850
2.5,5,64.42,495
2,9,89.71,960
3.1,11,28.69,721
5.7,4,84.88,654
5,7,72.78,520
5.3,11,22.17,999
6,1,61.35,312
1,4,51.09,816
1.4,4,38.91,392
1.8,15,29.79,620
1.9,1,46.61,608
5,2,42.64,636
5.2,10,32.67,918
4.3,13,4.06,514
6.3,9,46.45,573
4.9,10,6.23,814
5.7,9,81.8,539
2.5,14,17.33,790
6.1,1,21.55,397
6.3,4,99.12,599
2.2,1,51.78,137
0.7,1,87.39,102
2.2,6,82.72,632
5.7,9,28.87,895
1.2,3,70.7,671
3.2,1,65.06,765
0.5,6,42.75,920
6.2,11,68.65,778
5.4,12,19.68,595
4.4,12,65.51,208
0.8,10,52.92,323
1.4,1,38.63,788
3.5,10,82.14,750
5.9,2,1.69,786
3.5,5,91.05,948
0.8,1,66.84,202
1.3,7,78.15,727
1.1,3,81.42,476
2.8,11,59.66,252
1.9,9,15.6,364
3.1,11,95.82,691
3,11,31.15,795
1.6,9,23.4,231
6.4,13,99.14,202
1.7,10,62.7,941
1.6,7,48.82,180
2.2,11,45.06,800
3.7,14,99.57,780
3.8,2,6.49,590
6,4,69.23,326
4.1,3,65.49,334
3.4,14,9.14,512
3.9,10,65.81,205
0.7,6,6.17,196
1.7,5,24.7,322
3.9,4,33.61,506
1.9,11,96.78,614
4.6,11,86.25,794
3.8,9,85.89,953
3,10,22.27,537
5.2,8,53.77,656
6.7,15,90.8,577
0.7,6,48.39,192
3.9,4,72.75,301
5.4,15,49.19,203
1.1,8,14.78,722
3.3,6,84.9,381
1.8,10,88.56,938
3.7,2,91.64,933
3,5,77.22,804
5,6,72.24,706
4,13,35.88,873
2.9,4,46.78,369
2.1,8,69.8,982
2,9,57.89,604
3.9,9,50.44,884
6.7,14,35.17,152
0.7,9,60.11,273
3.4,1,17.52,606
3.6,1,83.34,337
2.6,1,24.36,849
6.7,9,30.57,921
2.5,7,12.91,545
4.5,14,87.27,275
1.8,9,50.43,993
3.2,4,37.87,650
0.6,12,36.07,729
3.9,12,84.83,523
4.9,11,16.6,237
6.3,15,92.4,146
2.3,15,13.51,283
2.7,6,35.86,255
5.1,13,35.36,596
5,11,34.54,151
3.3,6,90.95,397
0.7,5,49.89,661
4.9,7,64.52,240
3.8,1,11.35,202
6.2,13,30.06,734
3.9,15,91.02,295
5.7,4,6.68,517
2.2,9,8.69,458
5.9,13,36.86,606
6.2,3,59.46,157
5.7,8,81.36,512
4.1,4,73.9,638
3.7,5,2.11,406
5.8,8,2.98,754
2.7,11,47.69,146
5.2,12,43.76,598
4.8,14,13.45,260
5.8,4,86.07,299
2,12,95.41,432
4.4,5,24.72,945
2.3,8,99.54,446
4.2,3,74.7,280
5.1,3,18.48,763
2.5,7,24.15,487
5.8,6,48.48,801
5.6,11,61.52,952
4.8,6,51.54,761
1.6,3,36.35,798
5.6,4,71.91,118
4.8,7,79.03,549
3.2,4,59.44,327
3.3,4,58.45,686
4.2,5,57.74,826
1.9,11,26.53,826
3.3,9,29.52,682
3,3,13.56,168
6.2,15,99.8,848
3.6,7,23.71,649
2.2,9,30.47,400
5.8,15,78.95,600
2.6,6,78.44,927
5.6,12,79.24,390
4.5,6,47.76,897
4.5,10,27.89,627
5.2,11,72.12,896
5.9,15,2.88,229
0.8,11,90.32,519
4.9,4,41.33,887
3.7,10,15.1,556
6.9,1,95.64,347
5,8,32.04,249
4.7,13,40.37,874
4.7,7,2.75,306
4.7,9,17.41,109
3.4,6,97.15,679
2.6,8,22.96,716
2.3,11,21.36,166
5.7,3,77.3,920
1.1,2,37.44,893
6.4,9,52.8,733
2.5,4,95.92,889
4.8,9,50.03,290
2.1,13,55.94,443
4.2,13,35.4,420
6.1,10,62.14,560
2,12,96.06,295
6.4,13,29.02,713
6.6,1,58.58,238
1.7,4,11.39,586
5.1,12,39.38,762
2.3,4,47.51,908
1.4,6,8.36,216
3.6,1,83.39,744
2.1,8,96.51,224
4.4,1,85.25,256
3.7,11,82.73,120
3.2,2,8.65,950
1.5,11,58.79,947
0.9,9,86.21,262
6.1,15,7.12,164
1,3,68.9,975
5.6,12,48.87,870
2.4,10,56.21,184
4.8,3,76.82,701
4.8,9,31.02,364
6.6,5,72.43,393
0.8,10,1.96,379
1.1,11,92.21,685
3.7,12,88.2,841
3,8,87.23,888
2.7,15,21.41,173
2.5,5,7.4,189
6.8,15,95.29,638
2.6,11,55.29,880
4.9,10,87.53,685
1.1,12,97.63,708
1.1,11,63.3,653
3.8,12,36.37,405
2.4,8,12.84,112
2.5,7,98.53,303
1.4,15,18.98,476
2.7,9,24.88,858
6.4,8,99.92,782
5.1,11,88.67,313
6.5,15,21.04,141
3.9,7,67.71,128
3.3,13,29.86,807
5.3,12,20.43,557
6.8,9,98.52,861
4.4,10,26.44,738
6.5,5,81.53,330
4.8,9,54.57,860
3.6,12,83.92,275
6.5,1,56.45,678
1.7,1,87.11,687
4.1,10,86.72,558
2.3,2,56.72,301
1.7,9,49.51,989
6.2,9,79.14,271
0.6,1,53.54,928
4.6,13,72.59,669
4.5,3,91.38,892
5.4,6,37.9,451
1,15,16.89,466
6.9,2,37.54,678
5.8,12,52.77,391
1,7,45.19,818
2.1,5,91.65,845
5.7,6,50.3,336
1.2,2,41.03,510
4.8,4,27.25,563
3.6,5,52.72,976
5.5,7,62.57,423
6,3,82.11,394
1.2,2,82.17,789
4.4,2,45.57,625
6.4,15,15.59,533
1,4,34.17,421
3.5,3,45.19,644
6.4,3,89.01,417
1.3,9,8.63,970
2.2,14,64.19,668
4.8,2,74.95,506
0.7,2,74.05,779
5.6,4,62.9,173
0.6,1,61.91,294
5.2,10,5.66,446
3.6,14,49.21,341
2.9,14,6.55,745
2.9,4,95.9,871
6.6,4,43.7,175
1,6,48.33,318
0.9,1,20.21,547
4.5,15,48.78,210
6.1,7,8.7,787
3,3,27.85,636
3.8,4,15.36,277
3.5,5,84.13,519
4.8,1,87.12,187
2.3,1,31.97,296
4,5,76.86,719
5.5,8,73.91,917
1,2,99.42,701
3.9,15,13.56,336
4.3,2,20.44,756
5.1,5,36.17,853
1.6,5,10.55,819
4.4,3,91.31,423
5.3,7,60.19,826
1.5,2,12.03,521
5.3,12,99.81,443
3.5,14,93.13,601
5.4,11,62.23,897
0.7,3,21.88,343
4.7,2,16.84,877
5.2,4,27,821
5.3,11,69.42,587
4.6,4,56.1,984
4.3,3,58.37,135
5.1,2,37.12,350
6.4,5,67.6,593
3,8,90.29,957
6,7,94.34,829
3.7,10,76.24,292
2.1,4,31.88,906
3.5,11,65.29,404
5,10,42.31,305
5.2,7,80.64,171
3.1,1,81.74,410
6.9,15,12.06,819
2.9,2,56.64,630
3.7,15,61.54,901
4.2,12,26.29,424
1.7,13,40.95,167
4.4,13,70.78,249
4.1,7,29.76,132
1.9,7,99.38,434
5.8,14,75.51,150
4.7,13,92.84,282
4.5,1,55.23,557
4.6,2,15,802
4.1,9,74.12,872
0.8,14,71.58,800
4.5,14,80.54,650
6.3,14,64.36,952
5.5,13,15.23,999
5.5,13,21.35,227
3,11,14.98,584
5.6,5,27.94,546
3.1,1,69.04,146
5.8,3,92.97,628
1,4,85.78,485
0.7,15,36.21,406
4.5,15,34.65,324
4.7,1,58.13,146
5,14,27.32,714
4.6,14,45.19,797
6.1,2,11.83,651
3.8,10,1.31,684
3.5,14,85.21,150
5.6,9,66.44,608
2.1,12,77.42,673
2.5,7,44.99,574
2.3,8,22.26,377
3,14,90.74,440
2.3,5,92.13,523
3.5,6,18.87,826
5,12,92.78,555
5.6,15,4.94,769
6.5,9,98.48,749
3,10,63.37,388
1.6,6,87.63,683
5.5,4,67.53,856
2.2,13,76.08,499
3.1,7,3.6,920
3.8,13,20.43,847
3.9,3,53.58,468
6.8,14,80.47,203
3.5,4,42.47,865
6.5,6,85.52,264
2.9,14,95.38,385
6.2,1,76.51,996
5.9,15,45.69,643
6.5,13,43.69,238
1.2,10,76.64,912
3.2,3,59.04,437
2.6,15,50.39,472
4.3,12,93.04,912
5.5,14,2.61,135
3.7,12,89.67,904
0.8,3,41.35,725
6.4,9,98.85,348
4.8,6,26.43,634
6.1,5,62.11,243
5.5,2,18.91,975
0.9,14,95.24,814
2.9,8,91.72,761
4,6,35.92,955
5.7,5,35.96,402
0.6,15,44.24,286
1.5,11,32.25,801
5.4,13,38.75,399
3.3,12,77.92,859
6.5,9,5.73,919
2.2,1,18.98,314
3.1,15,75.21,309
0.8,14,45.21,262
3.5,11,2.76,668
5.7,7,39.79,938
1,11,47.45,604
2,3,1.9,620
6.1,14,85.47,361
6.2,14,34.51,445
3.8,4,20.87,587
4.7,11,69.31,775
1.9,4,8.45,543
2.2,13,92.04,419
2.4,1,53.35,845
5.7,9,72.68,286
2.1,11,37.94,699
2,13,10.42,908
4.6,7,29.62,210
3.1,15,31.42,493
3.8,7,57.65,313
2.8,3,53.26,961
5.6,2,37.75,125
5.8,6,23.41,465
1.8,13,90.74,498
5.5,8,28.44,469
3.8,9,73.12,242
1.2,9,92.17,985
3.7,10,11.93,965
6.4,15,8.34,566
4.9,8,66.98,336
2,2,62.35,568
1.7,6,73.96,631
0.8,12,78.75,613
4.5,13,60.53,137
4.4,7,72.89,655
4.6,5,80.06,861
5.3,12,29.14,586
4.8,14,44.31,668
3.4,4,32.18,825
3,15,91.94,223
6.3,7,51.79,444
3.3,1,55.41,674
4.7,8,44.66,505
5.4,11,93.66,899
6.4,6,99.42,432
2.9,5,56.31,530
3.6,3,64.9,456
1.6,8,11.6,632
6,15,42.29,967
6.1,15,91.12,717
4.2,14,52.92,989
3.7,11,72.04,883
1,4,49.26,794

